  ▲ Next.js 14.2.35
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1434ms
 ○ Compiling / ...
 ✓ Compiled / in 2.8s (847 modules)
 GET / 200 in 3360ms
 ✓ Compiled in 502ms (305 modules)
 GET / 200 in 55ms
 GET / 200 in 55ms
 ○ Compiling /api/auth/[...nextauth] ...
 ✓ Compiled /api/auth/[...nextauth] in 574ms (866 modules)
 GET /api/auth/session 200 in 1005ms
 GET /api/auth/session 200 in 45ms
 GET / 200 in 87ms
 GET / 200 in 51ms
 GET / 200 in 43ms
 GET / 200 in 45ms
 GET /api/auth/session 200 in 63ms
 GET /api/auth/session 200 in 53ms
 GET / 200 in 57ms
 GET / 200 in 64ms
 GET / 200 in 70ms
 GET / 200 in 45ms
 GET /api/auth/session 200 in 75ms
 GET /api/auth/session 200 in 63ms
 GET / 200 in 45ms
 GET / 200 in 53ms
 GET / 200 in 47ms
 GET / 200 in 43ms
 GET / 200 in 44ms
 GET /api/auth/session 200 in 65ms
 GET /api/auth/session 200 in 66ms
 GET / 200 in 55ms
 GET / 200 in 48ms
 GET / 200 in 48ms
 GET / 200 in 47ms
 GET / 200 in 73ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 46ms
 GET / 200 in 49ms
 GET / 200 in 51ms
 GET / 200 in 45ms
 GET / 200 in 40ms
 GET / 200 in 38ms
 GET / 200 in 37ms
 GET /api/auth/session 200 in 55ms
 GET /api/auth/session 200 in 60ms
 GET / 200 in 49ms
 GET / 200 in 48ms
 GET / 200 in 62ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 67ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 54ms
 GET / 200 in 50ms
 GET / 200 in 47ms
 GET / 200 in 48ms
 GET / 200 in 45ms
 GET / 200 in 46ms
 GET / 200 in 46ms
 GET / 200 in 42ms
 GET / 200 in 47ms
 GET / 200 in 49ms
 GET / 200 in 49ms
 GET / 200 in 58ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 45ms
 GET / 200 in 58ms
 GET / 200 in 83ms
 GET / 200 in 50ms
 GET / 200 in 92ms
 GET / 200 in 47ms
 GET / 200 in 58ms
 GET / 200 in 41ms
 GET /api/auth/session 200 in 56ms
 GET /api/auth/session 200 in 61ms
 GET / 200 in 47ms
 GET / 200 in 51ms
 GET / 200 in 49ms
 GET / 200 in 45ms
 GET / 200 in 47ms
 GET / 200 in 54ms
 GET / 200 in 54ms
 GET / 200 in 44ms
 GET / 200 in 48ms
 GET / 200 in 45ms
 GET / 200 in 42ms
 GET / 200 in 46ms
 GET / 200 in 44ms
 GET / 200 in 45ms
 GET / 200 in 45ms
 GET / 200 in 43ms
 GET / 200 in 45ms
 GET / 200 in 43ms
 GET / 200 in 65ms
 GET / 200 in 48ms
 GET / 200 in 43ms
 GET / 200 in 52ms
 GET / 200 in 44ms
 GET / 200 in 29ms
 GET / 200 in 37ms
 GET /api/auth/session 200 in 51ms
 GET /api/auth/session 200 in 56ms
 GET / 200 in 49ms
 GET / 200 in 45ms
 GET / 200 in 46ms
 GET / 200 in 57ms
 GET / 200 in 53ms
 GET / 200 in 40ms
 GET / 200 in 43ms
 GET /api/auth/session 200 in 47ms
 GET /api/auth/session 200 in 40ms
 GET / 200 in 50ms
 GET / 200 in 49ms
 GET / 200 in 51ms
 GET / 200 in 48ms
 GET / 200 in 41ms
 GET / 200 in 37ms
 GET /api/auth/session 200 in 58ms
 GET /api/auth/session 200 in 54ms
 GET / 200 in 44ms
 GET / 200 in 57ms
 GET / 200 in 43ms
 GET / 200 in 63ms
 GET / 200 in 54ms
 GET / 200 in 41ms
 GET /api/auth/session 200 in 59ms
 GET /api/auth/session 200 in 68ms
 GET / 200 in 76ms
 GET / 200 in 52ms
 GET / 200 in 45ms
